review_priority,source_key,source_url,title,locale,department,category,section,chunk_index,sensitivity,review_required,public_answer_allowed,recommended_review_action,content_preview,decision,reviewer,review_date,reviewer_notes
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-studenturi-kvleviti-habis-pirveli-shekhvedra-tsarmatebit-gaimarta,https://alte.edu.ge/ka/studenturi-kvleviti-habis-pirveli-shekhvedra-tsarmatebit-gaimarta,ალტე უნივერსიტეტში „სტუდენტური კვლევითი ჰაბი“ ამოქმედდა - აღწერა,ka,Academic Registry,deadlines_calendar,ალტე უნივერსიტეტში „სტუდენტური კვლევითი ჰაბი“ ამოქმედდა - აღწერა,542,high,true,false,NEEDS_OFFICIAL_SOURCE,"„სტუდენტური კვლევითი ჰაბი“ ალტე უნივერსიტეტის ინსტიტუციური ინიციატივაა, რომელიც სტუდენტებს კვლევით საქმიანობაში ჩართვასა და სხვადასხვა აქტივობაში მონაწილეობაში ეხმარება. აღნიშნული პლატფორმა აძლიერებს კვლევაზე ორიენტირებუ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-migheba,https://alte.edu.ge/ka/migheba,ბაკალავრებისთვის,ka,Academic Registry,deadlines_calendar,ბაკალავრებისთვის,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის საბაკალავრო პროგრამებზე სტუდენტი ირიცხება ერთიანი ეროვნული გამოცდების შედეგების საფუძველზე ან საქართველოს კანონმდებლობით დადგენილი სხვა წესის შესაბამისად. აბიტურიენტი, რომელიც წარმატებით ჩააბარებს ერთი",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-biblioteka,https://alte.edu.ge/ka/biblioteka,ბიბლიოთეკით სარგებლობის წესები,ka,Academic Registry,deadlines_calendar,ბიბლიოთეკით სარგებლობის წესები,9,high,true,false,NEEDS_OFFICIAL_SOURCE,"ბიბლიოთეკით სარგებლობა შეუძლია ალტე უნივერსიტეტის ყველა სტუდენტს, პროგრამების განმახორციელებლებს (აკადემიურ და მოწვეულ პერსონალს), უნივერსიტეტის კურსდამთავრებულებს, დამსაქმებლებს,რომლებიც ხელშეკრულების საფუძელზე თანამშრო",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-biznesis-administrirebis,https://alte.edu.ge/ka/biznesis-administrirebis,ბიზნესის ადმინისტრირების 3-წლიანი - აღწერა,ka,Academic Registry,deadlines_calendar,ბიზნესის ადმინისტრირების 3-წლიანი - აღწერა,5,high,true,false,NEEDS_OFFICIAL_SOURCE,შეისწავლეთ ბიზნესის ადმინისტრირება ალტე უნივერსიტეტში. საბაკალავრო პროგრამა გაძლევთ თანამედროვე მენეჯერულ ცოდნასა და პრაქტიკულ გამოცდილებას.,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-sabakalavro-programebi,https://alte.edu.ge/ka/sabakalavro-programebi,ბიზნესის ადმინისტრირების 3-წლიანი - აღწერა,ka,Academic Registry,deadlines_calendar,ბიზნესის ადმინისტრირების 3-წლიანი - აღწერა,5,high,true,false,NEEDS_OFFICIAL_SOURCE,შეისწავლეთ ბიზნესის ადმინისტრირება ალტე უნივერსიტეტში. საბაკალავრო პროგრამა გაძლევთ თანამედროვე მენეჯერულ ცოდნასა და პრაქტიკულ გამოცდილებას.,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,გამოცდების შესახებ,ka,Academic Registry,deadlines_calendar,გამოცდების შესახებ,4,high,true,false,NEEDS_OFFICIAL_SOURCE,"საგამოცდო ცენტრის მისია ალტე უნივერსიტეტში საგამოცდო ცენტრი მოქმედებს საქართველოს კანონმდებლობის, უნივერსიტეტში მოქმედი დებულების და მარეგულირებელი აქტების საფუძველზე. ცენტრის მიზანია, გამოცდების (როგორც ელექტრონული, ისე",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-gamotsdebis-shesakheb,https://alte.edu.ge/ka/gamotsdebis-shesakheb,გამოცდების შესახებ,ka,Academic Registry,deadlines_calendar,გამოცდების შესახებ,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"საგამოცდო ცენტრის მისია ალტე უნივერსიტეტში საგამოცდო ცენტრი მოქმედებს საქართველოს კანონმდებლობის, უნივერსიტეტში მოქმედი დებულების და მარეგულირებელი აქტების საფუძველზე. ცენტრის მიზანია, გამოცდების (როგორც ელექტრონული, ისე",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,გამოცდების შესახებ - აღწერა,ka,Academic Registry,deadlines_calendar,გამოცდების შესახებ - აღწერა,3,high,true,false,NEEDS_OFFICIAL_SOURCE,"გაიგე გამოცდების ფორმატები და ცხრილები ალტე უნივერსიტეტში, შეამოწმე ემისში ინფორმაცია!",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-gamotsdebis-shesakheb,https://alte.edu.ge/ka/gamotsdebis-shesakheb,გამოცდების შესახებ - აღწერა,ka,Academic Registry,deadlines_calendar,გამოცდების შესახებ - აღწერა,174,high,true,false,NEEDS_OFFICIAL_SOURCE,"გაიგე გამოცდების ფორმატები და ცხრილები ალტე უნივერსიტეტში, შეამოწმე ემისში ინფორმაცია!",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-karieruli-ganvitareba,https://alte.edu.ge/ka/karieruli-ganvitareba,დასაქმების ფორუმი 2025,ka,Academic Registry,deadlines_calendar,დასაქმების ფორუმი 2025,3,high,true,false,NEEDS_OFFICIAL_SOURCE,"4 აპრილს ალტე უნივერსიტეტმა მორიგ დასაქმების ფორუმს უმასპინძლა, რომელსაც სხვადასხვა სფეროს 20 წამყვანი პარტნიორი ორგანიზაცია დაესწრო. ფორუმი უნიკალური შესაძლებლობა იყო ალტე უნივერსიტეტის სტუდენტებისთვის, დაეწყოთ კარიერულ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-kompiuteruli-metsnierebis-inglisurenovani,https://alte.edu.ge/ka/kompiuteruli-metsnierebis-inglisurenovani,დასაქმების შესაძლებლობები,ka,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,10,high,true,false,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებპროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტე,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-kompiuteruli-metsnierebis-qartulenovani,https://alte.edu.ge/ka/kompiuteruli-metsnierebis-qartulenovani,დასაქმების შესაძლებლობები,ka,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,10,high,true,false,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებ პროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტ,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-sabakalavro-programebi,https://alte.edu.ge/ka/sabakalavro-programebi,დასაქმების შესაძლებლობები,ka,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,59,high,true,false,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებ პროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტ,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-sabakalavro-programebi,https://alte.edu.ge/ka/sabakalavro-programebi,დასაქმების შესაძლებლობები,ka,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,69,high,true,false,NEEDS_OFFICIAL_SOURCE,კომპიუტერული მეცნიერების საბაკალავრო პროგრამის კურსდამთავრებული პროფესიული კარიერის განვითარებას შეძლებს შემდეგ სფეროებში: პროგრამული უზრუნველყოფის შექმნა; ვებპროგრამირება და სერვისები; ჭკვიანი სისტემები და ნივთების ინტე,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-sabakalavro-programebi,https://alte.edu.ge/ka/sabakalavro-programebi,დასაქმების შესაძლებლობები,ka,Academic Registry,deadlines_calendar,დასაქმების შესაძლებლობები,79,high,true,false,NEEDS_OFFICIAL_SOURCE,"ხელოვნური ინტელექტისა და მონაცემთა ანალიტიკის ბაკალავრის ხარისხის მქონე კურსდამთავრებულები მომზადებულნი არიან კონკურენტულ და მაღალანაზღაურებად პროფესიულ პოზიციებზე დასაქმებისთვის სხვადასხვა სექტორში, მათ შორის: ტექნოლოგი",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-abiturientebistvis,https://alte.edu.ge/ka/abiturientebistvis,დაფინანსება - აღწერა,ka,Academic Registry,deadlines_calendar,დაფინანსება - აღწერა,5,high,true,false,NEEDS_OFFICIAL_SOURCE,"სტუდენტებსა და აბიტურიენტებს აკადემიური მიღწევების საფუძველზე აქვთ შესაძლებლობა მოიპვონ სხვადასხვა ტიპის შიდა და გარე დაფინანსება, რომელიც შეიძლება იყოს სრული ან ნაწილობრივი.",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,ემისის მოხმარების წესი,ka,Academic Registry,deadlines_calendar,ემისის მოხმარების წესი,7,high,true,false,NEEDS_OFFICIAL_SOURCE,"ემისი არის ალტე უნივერსიტეტის სტუდენტზე მორგებული ონლაინ პლატფორმა, რომელიც სტუდენტს სასწავლო პროცესის ეფექტურად დაგეგმვასა და ინფორმირებულობაში უწყობს ხელს. სტუდენტური პორტალი შესაძლებლობას იძლევა სტუდენტმა მიიღოს ინფორ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-karieruli-ganvitareba,https://alte.edu.ge/ka/karieruli-ganvitareba,კარიერული განვითარება,ka,Academic Registry,deadlines_calendar,კარიერული განვითარება,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"სტუდენტთა და კურსდამთავრებულთა დასაქმების ხელშეწყობა და კარიერულ განვითარებაზე ზრუნვა, უნივერსიტეტის პრიორიტეტია. ალტე უნივერსიტეტი, მისიის შესაბამისად, მუდმივად ზრუნავს შექმნას ისეთი გარემო, სადაც სტუდენტებს ექნებათ შეს",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-studenturi-servisebi,https://alte.edu.ge/ka/studenturi-servisebi,კარიერული განვითარება,ka,Academic Registry,deadlines_calendar,კარიერული განვითარება,5,high,true,false,NEEDS_OFFICIAL_SOURCE,"სტუდენტთა და კურსდამთავრებულთა დასაქმების ხელშეწყობა და კარიერულ განვითარებაზე ზრუნვა, უნივერსიტეტის პრიორიტეტია. ალტე უნივერსიტეტი, მისიის შესაბამისად, მუდმივად ზრუნავს შექმნას ისეთი გარემო, სადაც სტუდენტებს ექნებათ შეს",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-studenturi-tskhovreba,https://alte.edu.ge/ka/studenturi-tskhovreba,კლუბები,ka,Academic Registry,deadlines_calendar,კლუბები,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტში სტუდენტური ცხოვრების მნიშვნელოვანი ნაწილს წარმოადგენს სტუდენტური კლუბები. სტუდენტების მიერ შექმნილი ორგანიზაციები უნივერსიტეტის აქტიური სოციალური და კულტურული გარემოს საფუძველია. იმისათვის, რომ ალტე უნ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-migheba,https://alte.edu.ge/ka/migheba,მაგისტრებისთვის - აღწერა,ka,Academic Registry,deadlines_calendar,მაგისტრებისთვის - აღწერა,2,high,true,false,NEEDS_OFFICIAL_SOURCE,ალტე უნივერსიტეტი აცხადებს 2026-2027 წელს საერთო სამაგისტრო გამოცდების ჩაბარების მსურველთა მიღებას სამართლისა და ბიზნესის ადმინისტრირების პროგრამებზე.,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka,https://alte.edu.ge/ka/,მთავარი გვერდი - აღწერა,ka,Academic Registry,deadlines_calendar,მთავარი გვერდი - აღწერა,0,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტი 24 წლიანი გამოცდილებისა და ისტორიის მქონე, სრულად ავტორიზებული უმაღლესი სასწავლებელია.",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-abiturientebisatvis-biznesis-online-skola-itsyeba-2,https://alte.edu.ge/ka/abiturientebisatvis-biznesis-online-skola-itsyeba-2,მთავარი გვერდი - აღწერა,ka,Academic Registry,deadlines_calendar,მთავარი გვერდი - აღწერა,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტი 24 წლიანი გამოცდილებისა და ისტორიის მქონე, სრულად ავტორიზებული უმაღლესი სასწავლებელია.",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-sabakalavro-programebi,https://alte.edu.ge/ka/sabakalavro-programebi,მიღების წესები,ka,Academic Registry,deadlines_calendar,მიღების წესები,93,high,true,false,NEEDS_OFFICIAL_SOURCE,"მიღება ხორციელდება ერთიანი ეროვნული გამოცდების ჩაბარების საფუძველზე და ასევე, საქართველოს კანონმდებლობით დადგენილი სხვა წესის შესაბამისად; ასევე, შესაძლოა სტუდენტი ჩაირიცხოს ერთიანი ეროვნული გამოცდების გავლის გარეშე, საქ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-zhurnalistika,https://alte.edu.ge/ka/zhurnalistika,მიღების წესები,ka,Academic Registry,deadlines_calendar,მიღების წესები,8,high,true,false,NEEDS_OFFICIAL_SOURCE,"მიღება ხორციელდება ერთიანი ეროვნული გამოცდების ჩაბარების საფუძველზე და ასევე, საქართველოს კანონმდებლობით დადგენილი სხვა წესის შესაბამისად; ასევე, შესაძლოა სტუდენტი ჩაირიცხოს ერთიანი ეროვნული გამოცდების გავლის გარეშე, საქ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-biznesis-administrireba-mba,https://alte.edu.ge/ka/biznesis-administrireba-mba,მიღების წესები და ფასი,ka,Academic Registry,deadlines_calendar,მიღების წესები და ფასი,6,high,true,false,NEEDS_OFFICIAL_SOURCE,"ბიზნესის ადმინისტრირების სამაგისტრო პროგრამაზე სწავლის უფლება აქვს ბაკალავრს ან მასთან გათანაბრებული აკადემიური ხარისხის მქონე პირს, რომელიც ჩაირიცხება საერთო სამაგისტრო გამოცდების შედეგების საფუძველზე და ფლობს ინგლისურ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-samartlis-samagistro,https://alte.edu.ge/ka/samartlis-samagistro,მიღების წესები და ფასი,ka,Academic Registry,deadlines_calendar,მიღების წესები და ფასი,6,high,true,false,NEEDS_OFFICIAL_SOURCE,სამართლის სამაგისტრო პროგრამაზე მისაღები მოთხოვნებია: საერთო სამაგისტრო გამოცდების ჩაბარება. შიდასაუნივერსიტეტო გამოცდების - სამართალსა და ინგლისურ ენაში (B2 დონე) ჩაბარება. მისაღები ადგილების რაოდენობა: 30 ფასი: 2 900 ლ,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-biblioteka,https://alte.edu.ge/ka/biblioteka,მომსახურება,ka,Academic Registry,deadlines_calendar,მომსახურება,3,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის ბიბლიოთეკაში შეგიძლიათ მიიღოთ ინდივიდუალური და/ან ჯგუფური კონსულტაცია საბიბლიოთეკო სერვისის, ბიბლიოთეკათშორისო მომსახურების, სამეცნიერო ბაზების მოხმარების, რეფერატების საბაკალავრო, სამაგისტრო ნაშრომები",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-saqartvelos-turizmis-erovnuli-administratsia,https://alte.edu.ge/ka/saqartvelos-turizmis-erovnuli-administratsia,პარტნიორი ორგანიზაციები,ka,Academic Registry,deadlines_calendar,პარტნიორი ორგანიზაციები,2,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტი აქტიურად თანამშრომლობს, როგორც სხვადასხვა საჯარო უწყებასთან, ასევე სფეროს წამყვან კერძო კომპანიებთან ჩვენი კურსდამთავრებულების კარიერული წინსვლისა და პროფესიული განვითარების მიზნით. მათი რიცხვი ამჟამად",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-saqartvelos-turizmis-erovnuli-administratsia,https://alte.edu.ge/ka/saqartvelos-turizmis-erovnuli-administratsia,პარტნიორი ორგანიზაციები - აღწერა,ka,Academic Registry,deadlines_calendar,პარტნიორი ორგანიზაციები - აღწერა,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტი აქტიურად თანამშრომლობს, როგორც სხვადასხვა საჯარო უწყებასთან, ასევე სფეროს წამყვან კერძო კომპანიებთან ჩვენი კურსდამთავრებულების კარიერული წინსვლისა და პროფესიული განვითარების მიზნით.",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-samartlis-kongresi-2025,https://alte.edu.ge/ka/samartlis-kongresi-2025,სამართლის კონგრესი 2025,ka,Academic Registry,deadlines_calendar,სამართლის კონგრესი 2025,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტმა ELSA Tbilisi -ის ორგანიზებით ჩატარებულ, რიგით მესამე სამართლის კონგრესს უმასპინძლა. „სამართლის კონგრესი 2025“ სტუდენტებისთვის დასაქმებისა და კარიერული განვითარების კიდევ ერთი შესაძლებლობაა. ღონისძიების",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-samartlis-kongresi-2025-2,https://alte.edu.ge/ka/samartlis-kongresi-2025-2,სამართლის კონგრესი 2025,ka,Academic Registry,deadlines_calendar,სამართლის კონგრესი 2025,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტმა ELSA Tbilisi -ის ორგანიზებით ჩატარებულ, რიგით მესამე სამართლის კონგრესს უმასპინძლა. „სამართლის კონგრესი 2025“ სტუდენტებისთვის დასაქმებისა და კარიერული განვითარების კიდევ ერთი შესაძლებლობაა. ღონისძიების",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-samartlisa-da-ekonomikis-tsentri,https://alte.edu.ge/ka/samartlisa-da-ekonomikis-tsentri,სამართლისა და ეკონომიკის ცენტრი,ka,Academic Registry,deadlines_calendar,სამართლისა და ეკონომიკის ცენტრი,1,high,true,false,NEEDS_OFFICIAL_SOURCE,სამართლის და ეკონომიკის ცენტრი (CoLE) სამართლისა და ეკონომიკის ცენტრი ალტე უნივერსიტეტის სამართლის სკოლისა და ივ. ჯავახიშვილის სახელობის თბილისის სახელმწიფოს უნივერსიტეტის იურიდიული ფაკულტეტის მიერ საუნივერსიტეტო ბაზაზე,,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-samartlisa-da-sotsialur-metsnierebata-skola,https://alte.edu.ge/ka/samartlisa-da-sotsialur-metsnierebata-skola,სამართლისა და სოციალურ მეცნიერებათა - აღწერა,ka,Academic Registry,deadlines_calendar,სამართლისა და სოციალურ მეცნიერებათა - აღწერა,2,high,true,false,NEEDS_OFFICIAL_SOURCE,"პროგრამებით გათვალისწინებულ კომპონენტებს უძღვებიან უნივერსიტეტის მაღალკვალიფიციური აკადემიური პერსონალი, სათანადო გამოცდილებისა და კომპეტენციების მქონე მოწვეული ლექტორები",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-samartlisa-da-sotsialur-metsnierebata-skola-2,https://alte.edu.ge/ka/samartlisa-da-sotsialur-metsnierebata-skola-2,სამართლისა და სოციალურ მეცნიერებათა - აღწერა,ka,Academic Registry,deadlines_calendar,სამართლისა და სოციალურ მეცნიერებათა - აღწერა,488,high,true,false,NEEDS_OFFICIAL_SOURCE,"პროგრამებით გათვალისწინებულ კომპონენტებს უძღვებიან უნივერსიტეტის მაღალკვალიფიციური აკადემიური პერსონალი, სათანადო გამოცდილებისა და კომპეტენციების მქონე მოწვეული ლექტორები",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-universiteti-erti-shekhedvit,https://alte.edu.ge/ka/universiteti-erti-shekhedvit,სტრატეგიული განვითარების გეგმა,ka,Academic Registry,deadlines_calendar,სტრატეგიული განვითარების გეგმა,12,high,true,false,NEEDS_OFFICIAL_SOURCE,"წარმოგიდგენთ ალტე უნივერსიტეტის სტრატეგიული განვითარების შვიდწლიან გეგმას. უნივერსიტეტის განვითარებისთვის დაგეგმილი ყოველი ნაბიჯი, სრულ შესაბამისობაშია ჩვენს მიერ გაცხადებულ ხედვასთან, რაც გამოყენებითი სწავლების უნიკალურ",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-akademiuri-informatsia,https://alte.edu.ge/ka/akademiuri-informatsia,სტუდენტური გზამკვლევი,ka,Academic Registry,deadlines_calendar,სტუდენტური გზამკვლევი,10,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის სტუდენტურ გზამკვლევში, მოცემულია ინფორმაცია აკადემიურ მოთხოვნებზე, სასწავლო პროცესებსა და გარემოზე, სტუდენტურ სერვისებზე, საუნივერსიტეტო ცხოვრებასა და აქტივობებზე. მოცემული დოკუმენტის საშუალებით, სტუდე",,,,
P1,full_alte_local_kb_deadlines_calendar_alte-edu-ge-ka-studenturi-gzamkvlevi,https://alte.edu.ge/ka/studenturi-gzamkvlevi,სტუდენტური გზამკვლევი,ka,Academic Registry,deadlines_calendar,სტუდენტური გზამკვლევი,1,high,true,false,NEEDS_OFFICIAL_SOURCE,"ალტე უნივერსიტეტის სტუდენტურ გზამკვლევში, მოცემულია ინფორმაცია აკადემიურ მოთხოვნებზე, სასწავლო პროცესებსა და გარემოზე, სტუდენტურ სერვისებზე, საუნივერსიტეტო ცხოვრებასა და აქტივობებზე. მოცემული დოკუმენტის საშუალებით, სტუდე",,,,
