source_id,question,source_title,source_file,topic,department,answer_policy,handover_recommended,suggested_decision,reviewer_decision,reviewer_comment
alte_required_program_catalog_013,"საგანმანათლებლო პროგრამები: რა წერია ნაწილში - საერთაშორისო ურთიერთობათა სფეროს საკითხებთან დაკავშირებით, ქართულ და?",საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_014,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ინგლისური ენა საერთაშორისო?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_015,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 9 საბაკალავრო ნაშრომი 1_37 5?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_016,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 4 ფრანგული/ჩინური/რუსული 4 59 5?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_017,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_018,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დამატებითი ინფორმაცია?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_019,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ეკონომიკის საკითხების?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_020,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 58 შესავალი ფილოსოფიაში - 5 125 13 26 1 6 2 48 77 X?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_021,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_022,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სასწავლო კურსი წინაპი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_023,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_024,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ბიზნესის სკოლა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_025,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_026,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დანართი N 1 / სასწავლო გეგმა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_027,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - მათემატი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_028,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - მართვა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_029,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - საინფორმაციო ტექნოლოგიების სკოლა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_030,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_031,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ტექნოლოგიებთან დაკავშირებული გამოწვევების გადასაჭრელად და სხვადასხვა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_032,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დამატებითი ინფორმაცია?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_033,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - რებული?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_034,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 1 შესავალი ელექტრონიკაში ფიზიკა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_035,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - x x x x?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_036,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ან კომპიუტერული ინჟინერია - მიზანმიმართული ორიენტაციისა და არჩევითი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_037,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დასაქმების სფეროები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_038,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დამატებითი ინფორმაცია?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_039,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - მონაცემთა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_040,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 1 შესავალი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_041,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - x x x x?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_042,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 1. მყარი თეორიული და მათემატიკური საფუძვლის შექმნა სტუდენტებისთვის?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_043,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სულ 240 ECTS?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_044,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დასაქმების სფეროები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_045,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დეველოპ?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_046,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 7 ბლოკჩეი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_047,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სულ კრედიტები: 240?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_048,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 3. სპეციალიზაციისა და ინდივიდუალური სასწავლო გეგმის ხელშეწყობა სტუდენტების?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_049,"საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 2. განმარტავს მათემატიკურ და ლოგიკურ მეთოდებს , მათ შორის კალკულუსისა და?",საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_050,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დასაქმების სფეროები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_051,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დეველოპმენტი I?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_052,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 5 კომპიუტერული?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_053,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 5 4 4 3 3 62 63 x?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_054,"საგანმანათლებლო პროგრამები: რა წერია ნაწილში - განუვითაროს საკანონმდებლო ნოვაციების, თამანედროვე სასამართლო პრაქტიკის და?",საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_055,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ითვალისწინებს სამართლებრივ ღირებულებებს და პრინციპების მნიშვნელობას?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_056,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 4 ეროვნული უსაფრთხოების?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_057,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სამართლის და სოციალურ მეცნიერებათა სკოლა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_058,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის მიზნები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_059,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_060,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - # სასწავლო კომპონენტის დასახელება?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_061,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - შენიშვნა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_062,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_063,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სემესტრი ახალი პროგრამა წინაპირობა კრედი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_064,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ინტეგრირებული?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_065,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - მეცნიერებაში კლინიკური და კვლევითი უნარების დაუფლება?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_066,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - უწევს პირველად გადაუდებელ დახმარებას ასაკობრივი თავისებურებების?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_067,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ბიოსამედიცინო პრინციპებისა და თანამედროვე სამედიცინო მიღწევების?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_068,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - function?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_069,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - Women's?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_070,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - can choose study courses from other educational programs within 9 credits (taking into account their prerequisites)?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_071,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 2. სწავლების შესაბამისი საფეხურისათვის სამედიცინო და სოციალურ?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_072,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ბიოსამედიცინო პრინციპებისა და თანამედროვე სამედიცინო მიღწევების?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_073,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - Patient?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_074,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - clinical?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_075,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - Elective from field componts - 18 კრედიტი?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_076,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის მიზნები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_077,"საგანმანათლებლო პროგრამები: რა წერია ნაწილში - წარადგენს და იცავს საკუთარ იდეებს, გადაწყვეტილებებს, დასკვნებს ვერბალური და?",საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_078,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - სამედიცინო ფიზიკა და?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_079,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - ანესთეზიოლოგია და?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_080,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - აკრედიტაციაზე წარდგენილი პროგრამა?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_081,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - პროგრამის სწავლის შედეგები?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_082,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - დამატებითი ინფორმაცია?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_083,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 26 კორპორაციული?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_program_catalog_084,საგანმანათლებლო პროგრამები: რა წერია ნაწილში - 37 Power BI?,საგანმანათლებლო პროგრამების კატალოგი,001_1.pdf,საგანმანათლებლო პროგრამები,programs,direct_if_explicit_else_handover,True,APPROVE_CONSERVATIVE,,
alte_required_it_school_provision_001,რა არის საინფორმაციო ტექნოლოგიების სკოლის ძირითადი ფუნქცია?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
alte_required_it_school_provision_002,სკოლის დებულება: რა წერია ნაწილში - შინაარსი?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
alte_required_it_school_provision_003,სკოლის დებულება: რა წერია ნაწილში - მუხლი 19. მოწვეული პერსონალი ................................ ................................ ................. 12?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
alte_required_it_school_provision_004,სკოლის დებულება: რა წერია ნაწილში - მუხლი 24. სკოლის ფინანსები ................................ ................................ ....................... 14?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
alte_required_it_school_provision_005,სკოლის დებულება: რა წერია ნაწილში - მუხლი 3. სკოლის მისია?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
alte_required_it_school_provision_006,სკოლის დებულება: რა წერია ნაწილში - მუხლი 5. სკოლის საქმიანობის ძირითადი მიმართულებები?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
alte_required_it_school_provision_007,სკოლის დებულება: რა წერია ნაწილში - თავი II. სკოლის სტრუქტურა და მართვა?,საინფორმაციო ტექნოლოგიების სკოლის დებულება,043_IyhKQqQDfX.pdf,სკოლის დებულება,programs,direct_general,False,APPROVE_PUBLIC,,
